gen_name,hematopoietic multipotent progenitor cell,long term hematopoietic stem cell,short term hematopoietic stem cell
ENSMUSG00000042423,73.14612770524056,74.9740654623502,74.97048828474334
ENSMUSG00000042425,54.64496512251833,49.81577535324629,49.919513503845465
ENSMUSG00000042426,75.42121266320872,70.51332498658557,70.28796279735289
ENSMUSG00000042428,24.739760329100342,0.0,24.063673761402253
ENSMUSG00000042429,21.77070291539975,54.78089787157933,36.54444643176534
ENSMUSG00000042433,12.945805759255947,0.0,18.805222679306027
ENSMUSG00000042439,64.45358612055088,71.14290824539438,75.1779645859417
ENSMUSG00000042444,63.40189590413164,64.50008942944018,67.04703988553031
ENSMUSG00000042446,76.74834555535682,81.70273654086925,80.50080486496155
ENSMUSG00000042447,82.32874262207119,81.35217313539617,79.95349669111071
ENSMUSG00000042451,16.25469504560901,35.49633339295296,20.854945448041494
ENSMUSG00000042453,57.28492219638706,43.72026471114291,33.43230191379002
ENSMUSG00000042459,6.660704703988553,8.073689858701485,13.836522983366123
ENSMUSG00000042460,67.41548917903773,68.27401180468611,66.62851010552674
ENSMUSG00000042462,85.69128957252727,78.1112502235736,78.39742443212305
ENSMUSG00000042472,90.27007690931855,92.28402790198533,90.95689500983724
ENSMUSG00000042473,61.97817921659811,64.84707565730639,68.00930066177786
ENSMUSG00000042474,49.719191557860846,36.27973528885709,0.0
ENSMUSG00000042476,59.44196029332856,62.39670899660168,64.3856197460204
ENSMUSG00000042477,17.614022536218922,27.583616526560544,30.531210874619923
ENSMUSG00000042485,7.118583437667681,42.346628510105525,42.18565551779646
ENSMUSG00000042487,83.43051332498659,84.21749239849758,84.50366660704704
ENSMUSG00000042489,72.02289393668396,63.25165444464318,56.476480057234845
ENSMUSG00000042492,79.9320336254695,76.48005723484171,79.97853693435879
ENSMUSG00000042496,73.27132892148094,73.12824181720622,70.87461992487927
ENSMUSG00000042498,56.526560543730994,52.877839384725455,55.18511894115543
ENSMUSG00000042499,13.675549991057057,50.27007690931855,20.343409050259346
ENSMUSG00000042500,63.17295653729208,66.10266499731712,66.78590592022894
ENSMUSG00000042501,71.16079413342872,71.49347165086746,71.79753174745126
ENSMUSG00000042502,92.59524235378287,91.45054551958505,91.41835092112323
ENSMUSG00000042505,64.14952602396708,62.44678948309783,59.73528885709175
ENSMUSG00000042506,97.34215703809694,96.32623859774638,97.43516365587551
ENSMUSG00000042507,77.98247182972634,81.42371668753353,79.09855124306921
ENSMUSG00000042508,88.66750134144161,88.5673403684493,90.22357360042926
ENSMUSG00000042510,49.84439277410123,55.1207297442318,50.96762654265784
ENSMUSG00000042514,9.973171167948488,15.270971203720265,40.29690574137006
ENSMUSG00000042515,53.47165086746557,57.71418350921124,55.914863172956544
ENSMUSG00000042520,98.70863888392059,98.8302629225541,98.76945090323734
ENSMUSG00000042523,50.65998926846718,55.109998211411195,58.855303165802184
ENSMUSG00000042524,93.24986585583974,89.09676265426579,94.51976390627794
ENSMUSG00000042529,16.34412448578072,28.814165623323195,5.097478089787158
ENSMUSG00000042532,28.42783044178143,24.979431228760507,24.310499016276157
ENSMUSG00000042535,91.65086746556966,87.69808620998033,89.66553389375783
ENSMUSG00000042540,5.530316580218208,8.853514576998748,11.654444643176534
ENSMUSG00000042541,93.70774458951887,92.80987301019495,91.65086746556966
ENSMUSG00000042548,85.98819531389734,80.93364335539259,85.11178680021463
ENSMUSG00000042554,22.901091039170097,22.700769093185478,19.109282775889824
ENSMUSG00000042557,87.3403684492935,85.34072616705419,86.91826149168305
ENSMUSG00000042558,87.81971024861384,85.56608835628688,88.19889107494188
ENSMUSG00000042564,58.751565015203,60.90502593453765,59.22375245930961
ENSMUSG00000042567,41.531032015739584,33.063852620282596,37.04167411912002
ENSMUSG00000042569,76.75907708817743,75.27454838132714,76.18315149347164
ENSMUSG00000042570,75.14576998747988,78.77302808084421,81.90663566446074
ENSMUSG00000042572,68.52441423716688,69.77284922196387,71.23233768556608
ENSMUSG00000042581,52.05151135753891,53.96530137721338,52.72759792523699
ENSMUSG00000042589,58.533357181184044,59.06277946700054,58.72652477195493
ENSMUSG00000042590,89.19334644965122,90.72080128778394,88.5566088356287
ENSMUSG00000042594,90.68145233410839,87.7445895188696,91.47200858522626
ENSMUSG00000042595,63.00840636737613,62.08907172241101,65.35861205508854
ENSMUSG00000042596,3.5557145412269717,15.356823466285102,11.815417635485602
ENSMUSG00000042599,72.10516902164193,76.70184224646754,78.83026292255411
ENSMUSG00000042604,30.76015024145949,22.49686996959399,41.57038096941513
ENSMUSG00000042605,71.1643713110356,76.26184940082274,75.83616526560544
ENSMUSG00000042606,81.61688427830441,77.4602038991236,72.80987301019496
ENSMUSG00000042607,53.50026828832052,90.77803612949383,67.71954927562153
ENSMUSG00000042608,79.22017528170274,82.57556787694509,80.19674476837776
ENSMUSG00000042613,90.230727955643,88.17385083169378,91.66517617599715
ENSMUSG00000042616,62.9905204793418,60.26471114290825,59.96065104632445
ENSMUSG00000042622,53.67554999105706,56.41566803791809,58.751565015203
ENSMUSG00000042625,95.3246288678233,95.89340010731533,96.20461455911285
ENSMUSG00000042626,93.40010731532821,93.49669111071364,93.24628867823287
ENSMUSG00000042628,82.1463065641209,84.1817206224289,87.36540869254158
ENSMUSG00000042631,43.1586478268646,18.88034340905026,16.776962976211767
ENSMUSG00000042632,73.77571096404937,77.15972098014666,76.89500983723842
ENSMUSG00000042638,29.515292434269362,14.619924879270254,43.28742622071186
ENSMUSG00000042641,54.8739044893579,52.55231622250045,55.37470935431944
ENSMUSG00000042642,83.47701663387586,86.07762475406903,86.98622786621357
ENSMUSG00000042644,70.29511715256662,63.3947415489179,64.91146485423002
ENSMUSG00000042647,65.97388660346986,68.27043462707924,69.57610445358611
ENSMUSG00000042650,92.90287962797353,93.41083884814881,92.0622428903595
ENSMUSG00000042655,0.0,30.38454659273833,16.490788767662316
ENSMUSG00000042659,69.44732605973887,80.62600608120192,79.1808263280272
ENSMUSG00000042660,79.1235914863173,77.48166696476481,81.38794491146484
ENSMUSG00000042662,0.0,23.63441244857807,19.288141656233233
ENSMUSG00000042670,82.32516544446432,77.28849937399393,80.28975138615633
ENSMUSG00000042671,52.165981040958684,37.20264711142908,44.972276873546775
ENSMUSG00000042672,52.659631550706486,48.020032194598464,48.83205151135754
ENSMUSG00000042675,69.16830620640314,70.6242174923985,73.3893757825076
ENSMUSG00000042677,71.05347880522268,72.26256483634413,71.82257199069933
ENSMUSG00000042678,49.5331783223037,55.02772312645323,52.47361831514935
ENSMUSG00000042680,45.05812913611161,38.75871937041674,53.56465748524414
ENSMUSG00000042682,94.30155607225899,94.75585762833124,93.57181184045787
ENSMUSG00000042684,77.46378107673047,76.27258093364335,77.64621713468074
ENSMUSG00000042686,33.65766410302272,33.66124128062958,41.45948846360222
ENSMUSG00000042688,95.95421212663209,96.63387587193705,95.31747451260955
ENSMUSG00000042694,72.17313539617241,66.24575210159185,66.41030227150779
ENSMUSG00000042699,85.54104811303881,83.95635843319621,85.02593453764979
ENSMUSG00000042700,93.43230191379001,88.9608299052048,93.20693972455733
ENSMUSG00000042705,72.86353067429798,69.01091039170095,71.27526381684851
ENSMUSG00000042707,22.525487390448937,0.0,22.10338043283849
ENSMUSG00000042708,49.66911107136469,53.36791271686639,54.20139509926668
ENSMUSG00000042709,82.43248077267036,81.2698980504382,78.16133071006975
ENSMUSG00000042712,87.84832766946879,84.26757288499374,86.36022178501163
ENSMUSG00000042717,23.856197460203898,53.0066177785727,30.688606689322125
ENSMUSG00000042719,90.3201573958147,91.63298157753532,92.1194777320694
ENSMUSG00000042724,47.88409944553747,48.7354677159721,59.59220175281703
ENSMUSG00000042726,95.80397066714362,96.3691647290288,97.03809694151315
ENSMUSG00000042729,86.0704703988553,85.85226256483635,83.87408334823824
ENSMUSG00000042734,27.554999105705598,33.9295296011447,45.64478626363799
ENSMUSG00000042737,71.96923627258094,71.52924342693615,69.48667501341441
ENSMUSG00000042742,66.94687891253801,59.16651761759971,64.72545161867286
ENSMUSG00000042743,40.17885888034341,46.3852620282597,38.67644428545877
ENSMUSG00000042744,89.42944017170453,91.29314970488285,89.81219817563942
ENSMUSG00000042745,55.18154176354856,56.8413521731354,53.64335539259524
ENSMUSG00000042747,91.55070649257736,88.1631192988732,87.19728134501878
ENSMUSG00000042750,48.40279019853336,62.06760865676981,54.308710427472725
ENSMUSG00000042751,42.171346807368984,42.131997853693434,44.03505634054731
ENSMUSG00000042757,57.106063316043645,47.390448935789664,51.91915578608478
ENSMUSG00000042759,71.01412985154712,68.5780719012699,69.8944732605974
ENSMUSG00000042761,54.176354856018605,51.23233768556609,59.738866034698624
ENSMUSG00000042763,0.0,16.85566088356287,46.617778572706136
ENSMUSG00000042766,58.615632266142015,62.11411196565909,68.18815954212127
ENSMUSG00000042770,53.18905383652298,56.29762117689143,60.80486496154535
ENSMUSG00000042772,89.79431228760508,91.37184761223395,90.1734931139331
ENSMUSG00000042774,0.0,22.053299946342335,25.8236451439814
ENSMUSG00000042784,53.26417456626722,73.03523519942765,59.95707386871758
ENSMUSG00000042787,73.03523519942765,71.62940439992845,73.85798604900732
ENSMUSG00000042788,8.824897156143804,22.071185834376678,0.0
ENSMUSG00000042790,82.49686996959399,84.721874441066,84.37846539080665
ENSMUSG00000042793,49.97674834555536,53.464496512251834,53.34287247361832
ENSMUSG00000042797,62.31801108925058,63.20515113575389,63.05133249865856
ENSMUSG00000042800,57.14898944732606,51.518511894115534,55.00983723841889
ENSMUSG00000042801,69.2183866928993,69.91951350384547,69.8265068860669
ENSMUSG00000042804,37.424432123054906,19.009121802897514,25.222679306027544
ENSMUSG00000042807,43.86335181541764,46.44965122518333,42.893936683956355
ENSMUSG00000042808,34.519763906277944,27.33321409407977,43.39474154891791
ENSMUSG00000042810,77.16329815775353,79.66732248256126,80.14308710427473
ENSMUSG00000042812,4.042210695761045,26.463959935610802,0.0
ENSMUSG00000042814,52.487927025576816,49.55464138794491,50.706492577356464
ENSMUSG00000042816,8.406367376140226,24.07082811661599,50.20568771239492
ENSMUSG00000042817,98.65498121981756,67.63369701305669,96.19388302629226
ENSMUSG00000042821,31.357538901806475,50.931854766589154,20.47576462171347
ENSMUSG00000042826,52.80271865498122,63.942049722768736,60.91933464496512
ENSMUSG00000042828,31.611518511894115,18.912538007512072,20.865676980862098
ENSMUSG00000042831,82.77946700053658,84.25326417456627,85.16186728671079
ENSMUSG00000042834,50.87461992487927,65.29780003577179,48.25254873904489
ENSMUSG00000042842,72.68109461634769,71.46843140761939,74.32659631550706
ENSMUSG00000042845,37.209801466642816,42.86174208549455,37.063137184761224
ENSMUSG00000042846,39.327490609908786,44.39992845644786,37.05240565194062
ENSMUSG00000042848,48.7354677159721,47.42622071185834,49.30423895546414
ENSMUSG00000042849,20.840636737614023,40.90502593453765,18.089787157932392
ENSMUSG00000042851,60.246825254873904,66.4067250939009,60.65462350205688
ENSMUSG00000042854,66.34949025219102,65.25845108209623,65.53389375782508
ENSMUSG00000042863,0.0,13.618315149347165,36.83062064031479
ENSMUSG00000042869,5.297800035771776,15.507064925773564,27.88767662314434
ENSMUSG00000042870,71.76175997138257,76.35127884099445,74.40171704525129
ENSMUSG00000042873,65.1368270434627,67.0613485959578,67.50491861920945
ENSMUSG00000042894,58.46896798426042,58.06116973707744,57.664103022715075
ENSMUSG00000042895,55.15292434269361,57.649794312287604,53.03881237703452
ENSMUSG00000042901,68.7461992487927,67.8805222679306,69.68699695939904
ENSMUSG00000042903,56.66607047039886,58.415310320157396,60.300482918976925
ENSMUSG00000042909,84.18529780003577,86.90037560364871,88.12734752280451
ENSMUSG00000042918,58.37238418887498,64.95081380790556,63.74172777678412
ENSMUSG00000042938,62.822393131819,58.6728671078519,58.426041852978
ENSMUSG00000042942,49.586835986406726,48.42783044178143,55.26023967089966
ENSMUSG00000042961,11.66159899839027,25.065283491325346,25.04382042568414
ENSMUSG00000042962,27.0935431944196,17.9538544088714,12.058665712752639
ENSMUSG00000042978,61.252012162403865,45.16902164192452,58.51189411554284
ENSMUSG00000042988,27.17939545698444,0.0,26.64639599356108
ENSMUSG00000042992,69.9731711679485,67.80897871579324,71.71525666249329
ENSMUSG00000042993,16.844929350742262,38.95904131640136,36.63387587193704
ENSMUSG00000042997,72.21606152745483,71.35038454659274,78.83384010016097
ENSMUSG00000043003,17.181184045787873,50.64568055803971,24.571632981577533
