gen_name,adipose tissue derived mesenchymal stem cell
ENSMUSG00000001436,34.459986792339556
ENSMUSG00000001440,81.82745992675751
ENSMUSG00000001441,97.75469772468031
ENSMUSG00000001445,69.00402233295311
ENSMUSG00000001467,65.43195053130816
ENSMUSG00000001472,95.32328750675391
ENSMUSG00000001473,94.22465029717236
ENSMUSG00000001482,45.242240499489704
ENSMUSG00000001493,46.917211982950114
ENSMUSG00000001497,18.232574893438194
ENSMUSG00000001504,44.275679894338715
ENSMUSG00000001506,99.95197214384342
ENSMUSG00000001510,21.68457705469172
ENSMUSG00000001517,29.939364831602326
ENSMUSG00000001518,57.77751095635468
ENSMUSG00000001520,21.19229152908687
ENSMUSG00000001521,76.77853154829802
ENSMUSG00000001524,57.00906525784956
ENSMUSG00000001525,97.59260371015189
ENSMUSG00000001542,46.51497868763883
ENSMUSG00000001552,63.31272137839947
ENSMUSG00000001555,91.7211982950111
ENSMUSG00000001558,12.103019751455845
ENSMUSG00000001569,79.3600288167137
ENSMUSG00000001576,85.70570931140061
ENSMUSG00000001583,24.103980308578976
ENSMUSG00000001604,82.83004142402594
ENSMUSG00000001622,20.718016449540734
ENSMUSG00000001627,94.86101939124693
ENSMUSG00000001630,47.121330371615535
ENSMUSG00000001632,49.66680674791379
ENSMUSG00000001642,94.0265353905265
ENSMUSG00000001656,27.087710872305937
ENSMUSG00000001657,86.52818634808189
ENSMUSG00000001661,78.54955874407156
ENSMUSG00000001663,95.15519001020591
ENSMUSG00000001665,70.62496247823738
ENSMUSG00000001666,88.66542594704929
ENSMUSG00000001672,13.711952932700965
ENSMUSG00000001674,79.57615416941827
ENSMUSG00000001687,86.60623161433631
ENSMUSG00000001700,67.17296031698385
ENSMUSG00000001707,58.10770246743111
ENSMUSG00000001729,85.12937503752175
ENSMUSG00000001739,53.9172720177703
ENSMUSG00000001741,37.611814852614515
ENSMUSG00000001750,58.70204718736868
ENSMUSG00000001751,69.31019991595126
ENSMUSG00000001755,58.97220387824939
ENSMUSG00000001761,79.4861019391247
ENSMUSG00000001767,59.290388425286665
ENSMUSG00000001768,81.7254007324248
ENSMUSG00000001773,35.04232454823798
ENSMUSG00000001774,71.59752656540793
ENSMUSG00000001783,87.03247883772588
ENSMUSG00000001785,54.547637629825296
ENSMUSG00000001786,53.701146665065735
ENSMUSG00000001794,98.12091012787417
ENSMUSG00000001802,59.698625202617514
ENSMUSG00000001827,24.806387704868822
ENSMUSG00000001829,58.61199495707511
ENSMUSG00000001833,95.89361829861319
ENSMUSG00000001844,67.35906825959056
ENSMUSG00000001847,96.84216845770547
ENSMUSG00000001855,56.35468571771628
ENSMUSG00000001864,73.84282884072762
ENSMUSG00000001870,92.08140721618538
ENSMUSG00000001891,92.32154649696824
ENSMUSG00000001909,73.23647715675091
ENSMUSG00000001910,42.498649216545594
ENSMUSG00000001911,96.15176802545477
ENSMUSG00000001918,95.5574233055172
ENSMUSG00000001924,84.4930059434472
ENSMUSG00000001930,21.876688479318005
ENSMUSG00000001942,53.97130335594645
ENSMUSG00000001943,12.145044125592843
ENSMUSG00000001946,28.828720657981627
ENSMUSG00000001948,40.8416881791439
ENSMUSG00000001962,74.31710392027377
ENSMUSG00000001964,81.0350003001741
ENSMUSG00000001983,28.960797262412196
ENSMUSG00000001986,74.40115266854775
ENSMUSG00000001995,31.18808909167317
ENSMUSG00000001998,49.71483460407036
ENSMUSG00000001999,74.2630725820976
ENSMUSG00000002006,39.89313802005163
ENSMUSG00000002010,85.3094794981089
ENSMUSG00000002012,14.336315062736388
ENSMUSG00000002014,98.15092753797202
ENSMUSG00000002015,94.08657021072221
ENSMUSG00000002017,60.71321366392508
ENSMUSG00000002020,13.988113105601249
ENSMUSG00000002028,81.77342858858138
ENSMUSG00000002031,72.34195833583479
ENSMUSG00000002032,7.012066998859338
ENSMUSG00000002043,83.92267515158792
ENSMUSG00000002052,66.88479318004443
ENSMUSG00000002055,31.176082127634025
ENSMUSG00000002058,35.864801584919256
ENSMUSG00000002059,92.00336194993096
ENSMUSG00000002064,92.58569970582938
ENSMUSG00000002068,31.248123911868888
ENSMUSG00000002076,12.871465449960978
ENSMUSG00000002083,50.759440475475785
ENSMUSG00000002102,91.66116347481538
ENSMUSG00000002103,68.09749654799784
ENSMUSG00000002104,15.410938344239659
ENSMUSG00000002105,76.17217986432131
ENSMUSG00000002107,97.96481959536531
ENSMUSG00000002108,69.27417902383382
ENSMUSG00000002109,35.64267275019512
ENSMUSG00000002111,13.309719637389685
ENSMUSG00000002129,58.85213423785795
ENSMUSG00000002147,71.64555442156451
ENSMUSG00000002205,66.77072702167257
ENSMUSG00000002210,49.28258389866122
ENSMUSG00000002221,60.413039562946516
ENSMUSG00000002222,69.38224170018611
ENSMUSG00000002227,44.28768685837786
ENSMUSG00000002233,96.55400132076605
ENSMUSG00000002249,46.851173680734824
ENSMUSG00000002250,48.213964099177524
ENSMUSG00000002257,47.265413940085246
ENSMUSG00000002265,92.2435012307138
ENSMUSG00000002266,54.60166896800144
ENSMUSG00000002274,52.644533829621174
ENSMUSG00000002279,58.55196013687939
ENSMUSG00000002280,44.539833103199854
ENSMUSG00000002289,90.56252626523383
ENSMUSG00000002297,60.33499429669208
ENSMUSG00000002307,64.20123671729603
ENSMUSG00000002308,79.0238338236177
ENSMUSG00000002319,74.68331632346761
ENSMUSG00000002320,72.2338956594825
ENSMUSG00000002325,75.60184907246203
ENSMUSG00000002326,56.30065437954014
ENSMUSG00000002329,77.52296331872486
ENSMUSG00000002332,77.19277180764844
ENSMUSG00000002342,65.35390526505374
ENSMUSG00000002343,49.26457345260251
ENSMUSG00000002345,72.34796181785435
