gen_name,basophil mast progenitor cell,granulocyte monocyte progenitor cell
ENSMUSG00000001053,0.0,49.24386145590547
ENSMUSG00000001054,87.05078866063202,77.71152908016695
ENSMUSG00000001056,86.20521437476286,96.74237086020922
ENSMUSG00000001062,52.21421215242018,62.70258550598948
ENSMUSG00000001065,55.764540083473356,62.539975066399265
ENSMUSG00000001082,87.63618624315681,96.54723833270096
ENSMUSG00000001089,51.536668654127595,56.74020272101469
ENSMUSG00000001098,89.22976855114099,88.50886226895767
ENSMUSG00000001100,82.36218765244729,94.22732939454713
ENSMUSG00000001105,84.32977397148898,85.64691853216976
ENSMUSG00000001120,58.28500189712179,52.28467667624261
ENSMUSG00000001123,99.49048728928396,99.0677001463494
ENSMUSG00000001127,94.81272697707193,90.44934684806765
ENSMUSG00000001128,45.51466204130305,82.95300558295843
ENSMUSG00000001134,55.05989484524907,77.20743671743726
ENSMUSG00000001138,77.85245812781181,73.54328147867093
ENSMUSG00000001143,62.29063905902758,70.97403653314542
ENSMUSG00000001150,73.9389668816738,83.70101360507346
ENSMUSG00000001151,80.47048620521437,74.03653314542794
ENSMUSG00000001156,70.97945688113177,56.27947314217573
ENSMUSG00000001157,50.39297522900971,73.0066670280232
ENSMUSG00000001158,69.33167109328419,71.94427882270041
ENSMUSG00000001166,47.05946121741016,33.459808119681284
ENSMUSG00000001173,90.85587294704321,86.84481543715107
ENSMUSG00000001175,99.04059840641769,98.96471353460892
ENSMUSG00000001211,47.07030191338284,41.92097132635915
ENSMUSG00000001225,39.64984552008239,38.397745135237685
ENSMUSG00000001227,19.518673098812943,42.32749742533471
ENSMUSG00000001228,49.39563119952301,96.37378719713806
ENSMUSG00000001229,76.25887581982764,76.08000433627838
ENSMUSG00000001240,24.022982275462084,31.156160225486477
ENSMUSG00000001247,28.548972844056586,22.158382568160874
ENSMUSG00000001248,98.44436012792022,93.52810450430917
ENSMUSG00000001249,0.0,44.387229660144186
ENSMUSG00000001260,14.082064068513198,5.09512710716028
ENSMUSG00000001270,52.87007425876741,13.442463006124994
ENSMUSG00000001280,72.96872459211882,74.4051168084991
ENSMUSG00000001281,99.58263320505176,61.86243156810667
ENSMUSG00000001285,69.80866171608217,82.31340452057022
ENSMUSG00000001288,52.25757493631092,44.71245053932462
ENSMUSG00000001289,91.33828391782752,93.02943248956583
ENSMUSG00000001305,67.85191609301317,83.77147812889586
ENSMUSG00000001313,46.20846658355467,35.936907149438994
ENSMUSG00000001323,66.20413030516559,51.54208900211393
ENSMUSG00000001333,14.152528592335628,29.795652880914954
ENSMUSG00000001334,54.85392162176812,0.0
ENSMUSG00000001348,39.38424846875169,51.24396986286519
ENSMUSG00000001366,94.49292644587783,79.84172583879885
ENSMUSG00000001376,62.073825139573955,63.11995230093772
ENSMUSG00000001380,87.31096536397636,87.44647406363488
