gen_name,blastoderm cell,embryonic stem cell,morula cell,oocyte,totipotent stem cell,zygote
ENSG00000197062,58.58934529973536,67.26498676792085,61.28562114064358,74.65577417251563,72.60767844129943,81.68603536225214
ENSG00000197063,81.99670156867256,90.13155371457063,83.27388486173436,95.30932382157788,79.28891957197101,93.18835577033713
ENSG00000197070,73.67391554481648,64.07778161316304,54.105779925593524,63.04606297702604,53.56882598857056,62.639512138994355
ENSG00000197077,72.66137383500173,76.51210064050935,59.86269320753269,88.39795957503931,80.76554289878418,92.62071875119857
ENSG00000197081,81.24880144210486,84.07164499673992,72.92601541824877,84.90008821386108,79.50753653204464,80.4203582249837
ENSG00000197083,69.06761784221224,65.56974648103402,51.12185018985157,33.9469949756453,27.21589383653588,0.0
ENSG00000197092,0.0,11.210831127986806,0.0,0.0,4.330149963563841,26.947416868024394
ENSG00000197093,54.96490622483028,60.79852721205845,41.70597936562728,37.072833966171906,35.473478310896326,42.88344264181337
ENSG00000197102,89.94745522187704,95.65067311011391,79.5497257699536,78.62539792122118,75.74118820235492,78.88236873393933
ENSG00000197106,21.7044452115215,33.65550569554712,30.55267901660722,65.70398496528976,54.04057837609788,58.439765274421816
ENSG00000197110,0.0,24.439074905074214,0.0,0.0,18.82023549265524,0.0
ENSG00000197111,98.06313044145284,97.95190426878379,97.64890883289226,95.32466536263567,98.95677520806964,96.60568404096192
ENSG00000197114,72.48111072757258,68.71092701261841,78.05392551681817,41.40298392973574,70.9277796954704,53.73374755494189
ENSG00000197119,78.66758715913014,85.70935450466,56.78287884017949,68.78379933264296,45.20768611206996,53.844973727610935
ENSG00000197121,45.95175085337322,70.86641353123922,69.38979020442603,70.3563072910674,70.42917961109193,75.52640662754574
ENSG00000197122,61.60395811759292,66.13354811490815,41.95144402255207,0.0,31.944923867602498,32.22490699190734
ENSG00000197123,0.0,14.62815939861159,81.57864457484754,0.0,88.56288114141066,0.0
ENSG00000197124,70.83189506385916,82.90568787634717,82.40325240670425,81.37153377056725,82.08491542975493,78.16898707475166
ENSG00000197125,40.325240670425345,42.14321328577456,47.25578184328616,38.40754803820044,28.36267403060637,39.08257584474361
ENSG00000197128,65.21305565144019,73.81198941433667,58.09074521535689,87.37391170943121,79.96778276377862,88.7508150193687
ENSG00000197134,78.64457484754344,69.88839028880452,81.34852145898054,64.44981398381468,68.25451616614889,74.93192191155602
ENSG00000197136,68.43861465884248,65.42016645572048,52.62915659878035,50.84953783607563,62.248302842020486,63.53699229087562
ENSG00000197140,67.03102826678939,68.46929774095808,78.19583477160282,53.104744371572124,60.622099489893756,56.57960342116366
ENSG00000197142,0.0,13.956966977332874,36.631764660760176,68.36190695355349,49.545506846162695,53.31952594638132
ENSG00000197147,74.31058949871515,88.16400107390787,73.27887086257815,99.08334292179649,92.6629079891075,98.10531967936178
ENSG00000197149,37.23008476201434,26.54086602999271,28.63498638438231,0.0,34.1310934683389,29.981206612204197
ENSG00000197150,83.68427108503049,59.582710083227866,68.22766846929774,60.925094925785295,57.695700533118554,60.20404249606873
ENSG00000197153,58.34771602807503,61.7880566102865,83.722624937675,0.0,72.52713535074598,0.0
ENSG00000197157,89.6367890154566,92.98124496605683,77.36355616921719,82.08108004449048,80.73485981666857,79.96011199324973
ENSG00000197162,58.53948529129751,55.482683235531006,83.47716028075021,56.21140643577648,69.64676101714417,57.28914969508687
ENSG00000197165,41.08848233805086,40.61672995052353,48.65953285007479,37.50623250105473,42.38100717217044,40.1833314156407
ENSG00000197168,63.15728914969508,51.78920722586584,84.86940513174548,69.66210255820197,68.89502550531202,68.96022705480766
ENSG00000197170,98.46201050895561,95.57013001956047,97.30372415909177,85.08418670655468,91.42407854869022,88.44014881294827
ENSG00000197172,23.503240900548462,18.290952326161165,75.4305219959345,0.0,89.836229049208,0.0
ENSG00000197177,0.0,16.44229662869635,29.16043416561194,0.0,9.730372415909178,0.0
ENSG00000197181,56.24976028842097,60.69497180991831,86.59149311548346,92.35224178268707,83.36593410808115,90.34633528937982
ENSG00000197183,58.735089939784444,69.25171633490585,53.04337820734093,79.96778276377862,74.56372492616883,77.03371303647451
ENSG00000197185,0.0,0.0,26.333755225712423,0.0,10.3248571318989,0.0
ENSG00000197191,27.139186131246884,40.148812948260655,43.401219652514094,37.686495608483874,34.840639742262105,42.05116403942776
ENSG00000197208,42.85275955969777,34.376558125263685,30.36090975338473,0.0,24.212787174471675,34.57983354427952
ENSG00000197213,36.06029225635715,43.98419821271047,98.71514593640931,32.727342461550265,99.09484907758984,49.15046216392437
ENSG00000197217,75.75269435814828,83.31607409964332,78.3876040348253,76.15924519617995,67.69838530280367,73.02190004986001
ENSG00000197223,89.10750584896253,84.52805584320944,94.0014574464005,36.68162466919802,82.95938327004949,47.332489548575154
ENSG00000197226,77.58600851455529,79.01660721819506,72.61534921182833,60.97495493422315,67.1230775131362,67.2688221531853
