gen_name,spheroplast
YCL041C,3.7135278514588856
YCL042W,5.632704009985957
YCL043C,96.473708846934
YCL044C,64.315805897956
YCL045C,85.86362927133719
YCL046W,9.424247152441879
YCL047C,57.06038383523171
YCL048W,1.49789358714308
YCL048W-A,5.695116242783586
YCL049C,49.789358714308
YCL050C,91.05944765173975
YCL051W,37.19769074738649
YCL052C,78.6394133250117
YCL054W,43.5949446091434
YCL054W-A,17.60024964893119
YCL055W,33.95225464190981
YCL056C,30.1763145576533
YCL057C-A,47.5737244499922
YCL057W,92.22967701669528
YCL058C,15.478233733811827
YCL059C,62.7711031362147
YCL061C,33.93665158371041
YCL063W,43.563738492744584
YCL064C,95.64674676236542
YCL065W,0.0
YCL066W,0.0936183491964425
YCL067C,21.984709002964582
YCL068C,2.62131377750039
