gen_name,"effector memory CD4-positive, alpha-beta T cell","naive thymus-derived CD4-positive, alpha-beta T cell"
ENSMUSG00000002524,96.93707921203557,95.24145956279611
ENSMUSG00000002546,70.59263569113125,70.6674424403624
ENSMUSG00000002550,89.14055356994432,78.65929681655722
ENSMUSG00000002565,50.71066411769595,46.716814894854956
ENSMUSG00000002578,72.32150278447345,49.29349181281689
ENSMUSG00000002580,92.39049123098661,86.29789709916051
ENSMUSG00000002588,0.0,10.672429556977807
ENSMUSG00000002602,66.0377358490566,45.711079710747235
ENSMUSG00000002603,88.1265065248109,77.53719557808994
ENSMUSG00000002608,76.0036572188513,75.63793533372122
ENSMUSG00000002617,59.9867010223589,54.122683068739086
ENSMUSG00000002625,92.61075554816723,87.27869670019118
ENSMUSG00000002633,37.08336796608761,20.613415343695454
ENSMUSG00000002635,71.46538109882803,73.20671598370875
ENSMUSG00000002658,91.03150195328735,89.1197739173801
ENSMUSG00000002660,84.4900673260743,88.51716399301803
ENSMUSG00000002661,74.41193583243289,62.80442191006566
ENSMUSG00000002664,0.0,29.789709916050207
ENSMUSG00000002668,90.3416174881556,85.29631784556561
ENSMUSG00000002679,77.09251101321586,78.51383924860777
ENSMUSG00000002699,98.91114620563543,98.78231235973735
ENSMUSG00000002718,89.78887872994763,95.05859862023107
ENSMUSG00000002728,91.60917629457236,90.79045798354251
ENSMUSG00000002731,62.54675421826947,29.748150610921787
ENSMUSG00000002732,27.217188928601114,52.601612501038986
ENSMUSG00000002733,76.22392153603191,84.63552489402377
ENSMUSG00000002741,76.59795528218768,83.51342365555648
ENSMUSG00000002748,91.06474939739007,91.61748815559804
ENSMUSG00000002763,69.56612085445931,61.55764275621311
ENSMUSG00000002767,79.61516083451085,78.02759537860527
ENSMUSG00000002768,92.02476934585654,88.83301471199402
ENSMUSG00000002769,17.41750477932009,29.68581165322916
ENSMUSG00000002771,42.36139971739672,27.62031418834677
ENSMUSG00000002778,74.97298645166653,65.1525226498213
ENSMUSG00000002781,64.93641426315352,62.13947302801097
ENSMUSG00000002791,42.77283683816807,42.90998254509184
ENSMUSG00000002797,73.78023439448093,65.17745823289835
ENSMUSG00000002799,42.44451832765356,40.794613914055354
ENSMUSG00000002803,69.37079212035574,70.09807996010306
ENSMUSG00000002804,84.24902335632947,87.04596459147204
ENSMUSG00000002808,55.16166569694955,47.74748566203973
ENSMUSG00000002812,90.30005818302718,84.73526722633198
ENSMUSG00000002814,55.30712326489902,63.286509849555316
ENSMUSG00000002820,82.8401629124761,87.93117779070734
ENSMUSG00000002825,69.81132075471697,77.77823954783476
ENSMUSG00000002831,20.93342199318427,8.831352339788879
ENSMUSG00000002833,77.67018535450087,74.98129831269222
ENSMUSG00000002835,64.12185188263652,65.15667858033413
ENSMUSG00000002844,90.30837004405286,79.9185437619483
ENSMUSG00000002845,75.94963012218436,68.58947718394148
ENSMUSG00000002846,56.05519075721054,76.18651816141634
ENSMUSG00000002847,0.0,25.679494638849636
ENSMUSG00000002870,75.45923032166903,73.11528551242623
ENSMUSG00000002871,80.33413681323248,77.27121602526805
ENSMUSG00000002881,96.87474025434295,90.73227495636273
ENSMUSG00000002885,97.1282520156263,93.6497381763777
ENSMUSG00000002897,90.40811237636107,84.47344360402293
ENSMUSG00000002900,52.47693458565372,48.56620397306957
ENSMUSG00000002908,22.500207796525643,22.58748233729532
ENSMUSG00000002910,69.70326656138309,59.84539938492228
ENSMUSG00000002930,22.184357077549663,22.46696035242291
ENSMUSG00000002944,15.09849555315435,49.463884963843405
ENSMUSG00000002948,70.81290000831186,69.54118527138226
ENSMUSG00000002949,85.97373451915884,84.33214196658632
ENSMUSG00000002957,84.79345025351176,87.18726622890865
ENSMUSG00000002963,80.31335716066828,74.54076967833097
ENSMUSG00000002968,76.4400299226997,77.29199567783228
ENSMUSG00000002980,14.82004820879395,11.54101903416175
ENSMUSG00000002981,81.33571606682736,76.77666029423989
ENSMUSG00000002983,88.47144875737678,87.78156429224502
ENSMUSG00000002984,72.71631618319341,75.42598287756628
ENSMUSG00000002985,28.30188679245283,51.824453495137554
ENSMUSG00000002996,94.95885628792287,95.81497797356829
ENSMUSG00000002997,38.25118444019616,46.88720804588147
ENSMUSG00000003031,87.2911644917297,91.59670850303382
ENSMUSG00000003032,72.4461806998587,79.61100490399801
ENSMUSG00000003033,89.16548915302135,91.15202393815976
ENSMUSG00000003037,95.88147286177376,92.55672845150029
ENSMUSG00000003038,97.7059263569113,97.61033995511596
ENSMUSG00000003039,96.19732358074972,92.66062671432134
ENSMUSG00000003053,22.092926606267145,11.196076801595877
ENSMUSG00000003062,79.68581165322915,77.6244701188596
ENSMUSG00000003068,79.83542515169147,80.10971656553903
ENSMUSG00000003070,15.015376942897515,29.49879478015128
ENSMUSG00000003072,96.19316765023689,94.85495802510182
ENSMUSG00000003099,77.18809741501123,78.0109716565539
ENSMUSG00000003119,83.77940320837835,92.21594214944726
ENSMUSG00000003123,70.16873077882137,62.74208295237303
ENSMUSG00000003131,89.56030255174133,91.66735932175214
ENSMUSG00000003134,49.704928933588235,63.120272629041644
ENSMUSG00000003135,76.88471448757377,74.92727121602528
ENSMUSG00000003153,68.0741418003491,74.47843072063836
ENSMUSG00000003154,68.50635857368465,71.27836422575015
ENSMUSG00000003161,98.62023106973652,96.51733023023856
ENSMUSG00000003166,77.80317513091181,81.00324162580002
