gen_name,peptic cell,stem cell of gastric gland
ENSMUSG00000001729,83.37018040325434,88.04386275203396
ENSMUSG00000001739,41.240714538379905,48.523169437566324
ENSMUSG00000001741,45.640254686947294,39.80810045985143
ENSMUSG00000001750,71.9711708524938,74.91598868058013
ENSMUSG00000001751,83.28174743544393,79.76211531659003
ENSMUSG00000001755,82.90590732224973,82.41510435090201
ENSMUSG00000001761,71.22391227449594,67.62469048461266
ENSMUSG00000001763,75.91528121683764,89.12716660771135
ENSMUSG00000001767,74.4030774672798,76.22921825256455
ENSMUSG00000001768,83.71064732932437,77.90944464096215
ENSMUSG00000001773,2.2196674920410326,15.590732224973468
ENSMUSG00000001774,92.53183586841175,89.44110364343827
ENSMUSG00000001783,95.31305270604882,94.4243013795543
ENSMUSG00000001785,88.91050583657587,87.57516802263883
ENSMUSG00000001786,79.23151750972762,73.01910152104705
ENSMUSG00000001794,89.04315528829147,85.77555712769721
ENSMUSG00000001815,8.047400070746374,8.984789529536611
ENSMUSG00000001827,31.822603466572335,16.391050583657588
ENSMUSG00000001829,93.64609126282278,94.4906261054121
ENSMUSG00000001833,96.15316590024761,96.45383799080297
ENSMUSG00000001844,80.78793774319067,76.64485320127343
ENSMUSG00000001847,98.48337460205164,98.35956844711708
ENSMUSG00000001855,69.53042094092677,72.19225327201981
ENSMUSG00000001864,4.204987619384506,30.354616200919704
ENSMUSG00000001865,44.92394764768306,16.055005305978067
ENSMUSG00000001870,51.56968517863459,44.8443579766537
ENSMUSG00000001891,94.82667138309162,94.96816413158825
ENSMUSG00000001901,46.94021931376017,25.51733286169084
ENSMUSG00000001909,86.29731163777856,84.99734701096568
ENSMUSG00000001910,68.8273788468341,74.8231340643792
ENSMUSG00000001911,90.73664662186063,90.62610541209763
ENSMUSG00000001918,96.53342766183232,94.53484258931731
ENSMUSG00000001924,97.62999646268129,97.78033250795897
ENSMUSG00000001930,43.85390873717722,44.48620445702158
ENSMUSG00000001942,72.20993986558189,72.02423063318005
ENSMUSG00000001943,99.13335691545808,98.89016625397949
ENSMUSG00000001946,55.46073576229218,55.77025114962858
ENSMUSG00000001948,42.88556773965334,49.93809692253272
ENSMUSG00000001962,77.86522815705695,79.22267421294659
ENSMUSG00000001964,66.06384860275911,75.45542978422355
ENSMUSG00000001983,54.50123806154935,61.319419879731164
ENSMUSG00000001985,34.86911920764061,36.230986911920766
ENSMUSG00000001986,32.04810753448886,42.32844004244782
ENSMUSG00000001988,18.67704280155642,23.704457021577642
ENSMUSG00000001995,60.39087371772197,61.160240537672436
ENSMUSG00000001998,60.09904492394765,58.23310930314821
ENSMUSG00000001999,78.54174036080651,78.61690838344535
ENSMUSG00000002006,22.196674920410327,22.46197382384153
ENSMUSG00000002007,13.057127697205518,28.77166607711355
ENSMUSG00000002010,97.3425893172975,96.72355854262469
ENSMUSG00000002012,49.85850725150336,30.628758401131943
ENSMUSG00000002014,96.38751326494517,97.22320481075344
ENSMUSG00000002015,96.91368942341705,97.29395118500177
ENSMUSG00000002017,65.86929607357624,76.0390873717722
ENSMUSG00000002020,32.384152812168374,17.611425539441104
ENSMUSG00000002028,78.33834453484259,77.88291475061902
ENSMUSG00000002031,87.11531659002476,81.77838698266714
ENSMUSG00000002032,53.957375309515385,48.735408560311285
ENSMUSG00000002033,28.06420233463035,39.75946232755571
ENSMUSG00000002043,81.11071807569861,85.04156349487089
ENSMUSG00000002052,82.83958259639193,86.43880438627521
ENSMUSG00000002055,62.133003183586844,75.17244428723028
ENSMUSG00000002057,27.431906614785994,28.25433321542271
ENSMUSG00000002058,51.41050583657587,51.94994694021931
