gen_name,astrocyte,neuron,olfactory projection neuron,"olfactory projection neuron innervating DA1, VA1d or DC3 glomerulus",olfactory projection neuron innervating VM2 glomerulus,olfactory projection neuron innvervating DC2 glomerulus
FBgn0037313,90.01524390243902,77.36280487804879,93.93631436314364,93.36043360433605,92.76761517615176,88.40616531165311
FBgn0037315,85.56063685636856,50.90616531165312,81.00440379403794,88.36382113821138,85.28116531165311,60.416666666666664
FBgn0037317,0.0,56.44478319783198,58.6890243902439,57.19850948509485,63.02506775067751,62.31368563685636
FBgn0037320,0.0,0.0,12.762533875338752,11.644647696476964,0.0,0.0
FBgn0037322,0.0,0.0,26.998644986449865,35.865514905149055,31.190718157181575,40.41327913279133
FBgn0037323,0.0,0.0,30.284552845528456,13.329945799457995,0.0,0.0
FBgn0037324,0.0,0.0,35.52676151761517,42.36111111111111,0.0,0.0
FBgn0037325,0.0,0.0,15.684281842818429,26.4989837398374,0.0,0.0
FBgn0037326,0.0,95.35060975609755,74.3140243902439,80.8519647696477,62.44071815718157,73.63651761517616
FBgn0037327,0.0,57.52032520325203,75.29640921409214,72.84891598915989,65.55724932249322,70.90955284552845
FBgn0037328,89.07520325203252,89.6680216802168,93.24186991869918,83.84993224932249,95.03726287262873,85.93326558265582
FBgn0037329,85.64532520325203,0.0,84.34112466124661,93.81775067750678,76.10941734417345,72.63719512195121
FBgn0037330,65.15921409214093,78.55691056910568,78.44681571815718,75.08468834688347,74.71205962059621,64.47323848238482
FBgn0037332,0.0,63.32147696476965,54.92039295392954,67.83536585365853,72.03590785907859,36.051829268292686
FBgn0037336,86.82249322493224,90.93834688346884,89.62567750677508,84.78150406504065,79.40379403794037,93.6229674796748
FBgn0037338,70.62161246612466,58.44342818428184,50.5589430894309,50.5589430894309,57.113821138211385,56.65650406504065
FBgn0037339,95.40989159891599,71.12127371273714,62.135840108401084,68.59756097560977,61.78014905149052,72.18834688346884
FBgn0037340,0.0,66.05691056910568,62.21205962059621,61.636178861788615,66.89532520325203,49.830623306233065
FBgn0037341,79.36144986449864,45.06266937669376,69.94410569105692,72.2560975609756,74.7289972899729,74.84756097560977
FBgn0037342,75.20325203252033,58.06233062330624,82.97764227642277,73.92445799457995,86.78861788617887,69.30047425474255
FBgn0037344,77.98102981029811,71.92581300813008,82.50338753387534,84.51050135501355,81.16531165311653,86.09417344173443
FBgn0037345,0.0,0.0,42.16632791327913,50.271002710027105,44.00406504065041,40.709688346883475
FBgn0037347,86.10264227642277,74.40718157181571,65.02371273712737,61.32283197831978,77.76930894308943,60.50135501355014
FBgn0037350,62.737127371273715,0.0,29.25982384823848,38.69410569105691,39.04132791327913,0.0
FBgn0037351,98.61111111111111,99.20392953929539,99.57655826558266,98.74661246612466,99.6019647696477,99.09383468834689
FBgn0037354,88.20291327913279,62.44071815718157,48.96680216802168,52.89634146341463,51.54979674796748,52.43055555555556
FBgn0037356,0.0,0.0,53.69241192411924,67.58130081300813,50.381097560975604,60.46747967479674
FBgn0037358,94.03794037940379,58.646680216802174,86.3821138211382,94.87635501355014,91.35331978319783,88.84654471544715
FBgn0037359,0.0,79.84417344173443,67.72527100271003,58.019986449864504,71.05352303523034,68.90243902439023
FBgn0037360,69.35128726287263,61.5599593495935,90.3201219512195,89.11754742547426,88.89735772357723,89.76964769647697
FBgn0037363,68.03014905149053,89.64261517615176,54.71714092140921,55.39464769647696,56.31775067750677,63.4400406504065
FBgn0037364,0.0,0.0,8.69749322493225,21.875,28.895663956639567,0.0
FBgn0037365,0.0,0.0,10.78929539295393,34.42581300813008,0.0,42.59823848238483
FBgn0037368,0.0,68.61449864498645,45.96036585365854,44.22425474254742,54.31910569105691,53.794037940379404
FBgn0037369,81.85128726287263,0.0,62.05962059620597,56.58028455284553,56.859756097560975,67.31029810298102
FBgn0037370,0.0,65.07452574525745,61.59383468834688,56.62262872628726,45.48611111111111,55.77574525745257
FBgn0037371,85.27269647696477,77.40514905149053,73.45867208672087,67.3780487804878,72.69647696476966,75.85535230352303
FBgn0037372,0.0,91.454945799458,84.15481029810297,78.57384823848238,89.56639566395664,84.23949864498645
FBgn0037374,85.12872628726286,73.89905149051489,69.88482384823848,89.90514905149053,73.56029810298102,72.69647696476966
FBgn0037375,0.0,85.90785907859079,93.07249322493224,91.41260162601627,93.6399051490515,94.94410569105692
FBgn0037376,87.79640921409214,66.039972899729,73.20460704607046,66.26863143631437,79.78489159891599,61.576897018970186
FBgn0037377,0.0,76.3719512195122,54.988143631436316,58.57892953929539,56.43631436314364,60.40819783197831
FBgn0037378,0.0,49.69512195121951,69.46985094850947,65.86212737127371,74.41565040650406,58.705962059620596
FBgn0037379,0.0,49.49186991869919,47.96747967479675,53.760162601626014,39.2699864498645,0.0
FBgn0037382,0.0,81.97831978319783,71.41768292682927,66.97154471544715,59.239498644986455,73.73814363143632
FBgn0037383,73.55182926829268,66.37025745257452,63.617886178861795,63.4400406504065,63.46544715447154,69.49525745257452
FBgn0037384,0.0,60.16260162601627,67.02235772357723,65.01524390243902,71.24830623306234,69.01253387533876
FBgn0037385,0.0,0.0,16.759823848238483,16.971544715447155,31.5210027100271,0.0
FBgn0037386,0.0,0.0,18.36890243902439,7.0968834688346885,0.0,0.0
FBgn0037387,92.36957994579946,0.0,36.051829268292686,26.007791327913278,0.0,0.0
FBgn0037388,0.0,0.0,14.845867208672086,22.933604336043363,0.0,0.0
FBgn0037389,0.0,0.0,27.930216802168022,15.853658536585366,0.0,34.9339430894309
FBgn0037391,0.0,86.69546070460704,88.44850948509485,91.39566395663957,88.73644986449864,84.70528455284553
FBgn0037405,0.0,0.0,25.92310298102981,6.707317073170732,0.0,0.0
FBgn0037408,86.61924119241192,0.0,61.46680216802169,64.16836043360433,88.63482384823848,0.0
FBgn0037409,0.0,0.0,2.913279132791328,30.724932249322496,0.0,0.0
FBgn0037410,0.0,0.0,6.182249322493226,27.464430894308943,35.95867208672087,0.0
FBgn0037416,0.0,0.0,19.469850948509485,0.0,61.83943089430895,0.0
FBgn0037430,0.0,0.0,12.38990514905149,4.420731707317073,0.0,0.0
